File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
punam_564	dipe	i	e	BL	VLS_N	87.36	159.96	104.26	11.97	0.03	235.87	480.53	434.01	2343.38	2809.11	258.15	500.75	562.27	2147.22	2536.38
punam_565	theke	e	e	V	VLS_N	86.74	80.72	69.98	21.40	0.03	301.89	404.93	573.21	1526.94	2025.84	281.87	488.02	566.99	2691.04	2544.48
punam_566	khaddo	a	o	D	VS	86.28	76.40	124.83	19.05	0.04	231.60	1076.19	925.27	1631.33	1642.53	238.41	503.79	479.56	1490.51	1487.06
punam_566	shikkha	i	a	V	VLAS	50.76	163.92	122.62	38.29	0.02	256.15	380.33	442.89	2580.25	2668.72	235.43	790.35	970.53	1799.81	1656.02
punam_566	prodan	o	a	D	VS_N	73.24	98.39	17.62	3.85	0.02	216.71	453.81	528.48	1365.58	1507.69	96.13	568.06	827.18	1668.45	1613.78
punam_567	shOkol	O	o	V	VLS_N	84.14	53.93	75.57	7.00	0.06	242.64	554.44	776.05	1745.47	1420.14	304.47	599.83	615.99	1192.23	1377.87
punam_569	ditiobar	i	i	D	VLS_N	57.31	34.48	61.92	17.99	0.01	263.93	460.28	452.07	2417.02	2614.46	308.99	397.28	461.81	2545.16	2032.79
punam_570	adesh	a	e	D	VS_N	95.82	59.72	74.10	3.79	0.02	209.79	1045.75	952.50	1528.54	1482.55	134.56	472.67	483.66	1533.85	1728.23
punam_571	proti	o	i	D	VLS_N	40.53	82.32	52.01	17.65	0.009	216.12	473.42	474.42	1329.43	1553.72	236.71	488.63	481.78	2372.71	2535.37
punam_78	shiddhanto	i	a	D	VAS	53.87	89.38	104.40	18.41	0.01	234.25	333.31	401.15	2248.11	1920.77	239.89	569.92	556.28	1912.09	931.16
punam_98	Ogotta	o	a	D	VLS	82.61	159.66	160.82	13.05	0.03	316.61	613.89	634.85	1249.91	1305.25	328.31	681.33	1002.27	1906.19	1692.83
rajashree_142	mrittur	i	u	D	VLS	30.87	55.39	159.09	20.97	0.03	165.29	311.26	305.78	2174.38	2246.15	200.35	353.76	357.40	1421.03	1146.54
